aid,assay_name,accession,target_name,doi,journal,year,chembl_target,src_db,src_id
310082,Inhibition of jack bean urease,P07374,Urease,10.1016/j.bmcl.2007.07.085,Bioorg Med Chem Lett,2007,CHEMBL4161,ChEMBL,CHEMBL924370
363230,Inhibition of Klebsiella aerogenes urease,,,10.1021/jm800570q,J Med Chem,2008,,ChEMBL,CHEMBL997002
363231,Inhibition of Helicobacter pylori urease,Q0PXQ5,Urease subunit beta,10.1021/jm800570q,J Med Chem,2008,CHEMBL5325,ChEMBL,CHEMBL997003
363232,Inhibition of Bacillus pasteurii CCM 2056 urease by steady state kinetic study,,,10.1021/jm800570q,J Med Chem,2008,,ChEMBL,CHEMBL997004
363233,Inhibition of Proteus vulgaris CCM 1956 urease by steady state kinetic study,,,10.1021/jm800570q,J Med Chem,2008,,ChEMBL,CHEMBL997005
410190,Inhibition of urease in oxygen free condition,,,10.1016/j.bmcl.2008.10.007,Bioorg Med Chem Lett,2008,,ChEMBL,CHEMBL960617
499220,Inhibition of Proteus vulgaris CCM 1956 urease by berthelot colorimetric assay,,,10.1021/jm100340m,J Med Chem,2010,,ChEMBL,CHEMBL1218958
499221,Inhibition of Bacillus pasteurii CCM 2056 urease by berthelot colorimetric assay,,,10.1021/jm100340m,J Med Chem,2010,,ChEMBL,CHEMBL1218959
499222,Inhibition of Klebsiella aerogenes urease,,,10.1021/jm100340m,J Med Chem,2010,,ChEMBL,CHEMBL1218960
536135,Inhibition of cell free Helicobacter pylori ATCC 43504 urease assessed as reduction in ammonia production by indophenol based Berthelot color reaction method,P69996,Urease subunit beta,10.1016/j.ejmech.2010.08.015,Eur J Med Chem,2010,CHEMBL3885651,ChEMBL,CHEMBL1286287
536136,Inhibition of urease in intact Helicobacter pylori ATCC 43504 assessed as reduction in ammonia production by indophenol based Berthelot color reaction method,P69996,Urease subunit beta,10.1016/j.ejmech.2010.08.015,Eur J Med Chem,2010,CHEMBL3885651,ChEMBL,CHEMBL1286288
625341,Inhibition of jack bean urease assessed as ammonia production after 30 mins by indophenol method,P07374,Urease,10.1016/j.ejmech.2011.09.009,Eur J Med Chem,2011,CHEMBL4161,ChEMBL,CHEMBL1913189
745309,Competitive inhibition of Helicobacter pylori ATCC 43504 urease using urea as substrate by Lineweaver-Burk/Dixon plot analysis,P69996,Urease subunit beta,10.1016/j.ejmech.2013.03.016,Eur J Med Chem,2013,CHEMBL3885651,ChEMBL,CHEMBL2379095
745311,Inhibition of Helicobacter pylori ATCC 43504 urease-mediated ammonia production preincubated for 1.5 hrs by indophenol method,P69996,Urease subunit beta,10.1016/j.ejmech.2013.03.016,Eur J Med Chem,2013,CHEMBL3885651,ChEMBL,CHEMBL2379097
771081,Mixed-type competitive inhibition of Helicobacter pylori ATCC 43504 urease using urea as substrate by Lineweaver-burk plot analysis,P69996,Urease subunit beta,10.1016/j.ejmech.2013.07.047,Eur J Med Chem,2013,CHEMBL3885651,ChEMBL,CHEMBL2427755
771085,Inhibition of urease in Helicobacter pylori ATCC 43504 intact cell assessed as ammonia production preincubated for 1.5 hrs by indophenol-based method,P69996,Urease subunit beta,10.1016/j.ejmech.2013.07.047,Eur J Med Chem,2013,CHEMBL3885651,ChEMBL,CHEMBL2428641
771086,Inhibition of urease extracted from Helicobacter pylori ATCC 43504 assessed as ammonia production preincubated for 1.5 hrs by indophenol-based method,P69996,Urease subunit beta,10.1016/j.ejmech.2013.07.047,Eur J Med Chem,2013,CHEMBL3885651,ChEMBL,CHEMBL2428642
1055728,Inhibition of jack bean urease assessed as ammonia production after 30 mins by indophenol method,P07374,Urease,10.1016/j.ejmech.2013.10.012,Eur J Med Chem,2013,CHEMBL4161,ChEMBL,CHEMBL3090408
1071692,Competitive inhibition of jack bean urease using urea as substrate assessed as ammonia production after 15 mins by Lineweaver-Burk/Dixon plot analysis,P07374,Urease,10.1016/j.ejmech.2014.01.001,Eur J Med Chem,2014,CHEMBL4161,ChEMBL,CHEMBL3122982
1071693,Inhibition of jack bean urease using urea as substrate assessed as ammonia production after 15 mins by indophenol method,P07374,Urease,10.1016/j.ejmech.2014.01.001,Eur J Med Chem,2014,CHEMBL4161,ChEMBL,CHEMBL3122983
1181957,Inhibition of Bacillus pasteurii urease using urea substrate assessed as reduction in ammonia production after 15 mins by indophenol's method,,,10.1016/j.bmc.2014.05.057,Bioorg Med Chem,2014,,ChEMBL,CHEMBL3379836
1202921,Inhibition of urease from Sporosarcina pasteurii CCM 2056 using urea as substrate by Berthelot colorimetric assay,,,10.1021/ml500380f,ACS Med Chem Lett,2015,,ChEMBL,CHEMBL3425143
1202922,Inhibition of urease from Proteus mirabilis CCM 1944 using urea as substrate by Berthelot colorimetric assay,,,10.1021/ml500380f,ACS Med Chem Lett,2015,,ChEMBL,CHEMBL3425144
1235021,Inhibition of urease isolated from Helicobacter pylori ATCC 43504 assessed as ammonia production incubated for 1.5 hrs prior to testing by indophenol method,P69996,Urease subunit beta,10.1016/j.bmc.2015.06.014,Bioorg Med Chem,2015,CHEMBL3885651,ChEMBL,CHEMBL3595644
1235022,Inhibition of urease in Helicobacter pylori ATCC 43504 assessed as ammonia production incubated for 1.5 hrs prior to testing by indophenol method,P69996,Urease subunit beta,10.1016/j.bmc.2015.06.014,Bioorg Med Chem,2015,CHEMBL3885651,ChEMBL,CHEMBL3595645
1238015,Antioxidant activity assessed as DPPH radical scavenging activity incubated for 30 mins,,,10.1016/j.bmc.2015.05.026,Bioorg Med Chem,2015,,ChEMBL,CHEMBL3602333
1238018,"Inhibition of Staphylococcus aureus TyrRS expressed in Escherichia coli using [ring-3,5-3H]-tyrosine preincubated for 10 mins assessed as aminoacylation by liquid scintillation counting",,,10.1016/j.bmc.2015.05.026,Bioorg Med Chem,2015,,ChEMBL,CHEMBL3602336
1238205,Inhibition of jack bean Urease assessed as ammonia production after 15 mins by indophenol method,P07374,Urease,10.1016/j.bmc.2015.05.038,Bioorg Med Chem,2015,CHEMBL4161,ChEMBL,CHEMBL3603108
1250319,Inhibition of jack beans urease assessed as hydrolysis of urea into ammonia preincubated for 10 mins followed by urea addition measured after 10 mins by Berthelot assay,P07374,Urease,10.1016/j.ejmech.2015.08.011,Eur J Med Chem,2015,CHEMBL4161,ChEMBL,CHEMBL3625950
1254245,Inhibition of jack bean urease using urea as substrate assessed as ammonia production incubated for 15 mins by indophenol method,P07374,Urease,10.1016/j.bmc.2015.10.017,Bioorg Med Chem,2015,CHEMBL4161,ChEMBL,CHEMBL3631998
1312220,Inhibition of jack bean urease using urea as substrate assessed as reduction in ammonia production after 30 mins by indophenol method,P07374,Urease,10.1016/j.bmc.2016.07.042,Bioorg Med Chem,2016,CHEMBL4161,ChEMBL,CHEMBL3830509
1361235,Inhibition of urease in Helicobacter pylori ATCC 43504 assessed as reduction in ammonia production preincubated for 1.5 hrs by indophenol method,P69996,Urease subunit beta,10.1016/j.ejmech.2018.06.065,Eur J Med Chem,2018,CHEMBL3885651,ChEMBL,CHEMBL4156362
1361236,Inhibition of Helicobacter pylori ATCC 43504 urease assessed as reduction in ammonia production preincubated for 1.5 hrs under cell free condition by indophenol method,P69996,Urease subunit beta,10.1016/j.ejmech.2018.06.065,Eur J Med Chem,2018,CHEMBL3885651,ChEMBL,CHEMBL4156363
