key,doi,title,year,venue,authors,n_authors,cited,retracted,type,volume,issue,first_page,last_page,status,acs,num
hpylori2023,10.1038/s41572-023-00431-8,Helicobacter pylori infection,2023,Nature Reviews Disease Primers,Peter Malfertheiner; M. Constanza Camargo; Emad El‐Omar; Jyh‐Ming Liou; Richard M. Peek; Christian Schulz; Stella Smith; Sebastian Suerbaum,8,1133,False,article,9,1,19,19,verified,"Malfertheiner, P.; Camargo, M. C.; El‐Omar, E.; Liou, J.; Peek, R. M.; Schulz, C.; Smith, S.; Suerbaum, S.. Helicobacter pylori infection. Nature Reviews Disease Primers 2023, 9, 19-19.  DOI: 10.1038/s41572-023-00431-8.",1
krajewska2009,10.1016/j.molcatb.2009.01.004,Ureases. II. Properties and their customizing by enzyme immobilizations: A review,2009,Journal of Molecular Catalysis B Enzymatic,Barbara Krajewska,1,136,False,article,59,1-3,22,40,verified,"Krajewska, B.. Ureases. II. Properties and their customizing by enzyme immobilizations: A review. Journal of Molecular Catalysis B Enzymatic 2009, 59, 22-40.  DOI: 10.1016/j.molcatb.2009.01.004.",2
milo2021,10.1038/s41598-021-83257-2,A small-molecular inhibitor against Proteus mirabilis urease to treat catheter-associated urinary tract infections,2021,Scientific Reports,Scarlet Milo; Rachel A. Heylen; John H. Glancy; George T. Williams; Bethany L. Patenall; Hollie Hathaway; Thet Naing; Sarah L. Allinson; Maisem Laabei; A. Toby A. Jenkins,10,43,False,article,11,1,3726,3726,verified,"Milo, S.; Heylen, R. A.; Glancy, J. H.; Williams, G. T.; Patenall, B. L.; Hathaway, H.; Naing, T.; Allinson, S. L.; Laabei, M.; Jenkins, A. T. A.. A small-molecular inhibitor against Proteus mirabilis urease to treat catheter-associated urinary tract infections. Scientific Reports 2021, 11, 3726-3726.  DOI: 10.1038/s41598-021-83257-2.",3
kafarski2018,10.1016/j.jare.2018.01.007,Recent advances in design of new urease inhibitors: A review,2018,Journal of Advanced Research,Paweł Kafarski; Michał Talma,2,258,False,article,13,,101,112,verified,"Kafarski, P.; Talma, M.. Recent advances in design of new urease inhibitors: A review. Journal of Advanced Research 2018, 13, 101-112.  DOI: 10.1016/j.jare.2018.01.007.",4
modolo2014,10.1016/j.jare.2014.09.001,An overview on the potential of natural products as ureases inhibitors: A review,2014,Journal of Advanced Research,Luzia V. Modolo; Aline Xavier de Souza; Lívia P. Horta; Débora P. Araújo; Ângelo de Fátima,5,229,False,article,6,1,35,44,verified,"Modolo, L. V.; Souza, A. X. d.; Horta, L. P.; Araújo, D. P.; Fátima, Â. d.. An overview on the potential of natural products as ureases inhibitors: A review. Journal of Advanced Research 2014, 6, 35-44.  DOI: 10.1016/j.jare.2014.09.001.",5
aniceto2022,10.1021/acs.jcim.2c00150,Exploring the Chemical Space of Urease Inhibitors to Extract Meaningful Trends and Drivers of Activity,2022,Journal of Chemical Information and Modeling,Natália Aniceto; Vasco D. B. Bonifácio; Rita C. Guedes; Nuno Martinho,4,15,False,article,62,15,3535,3550,verified,"Aniceto, N.; Bonifácio, V. D. B.; Guedes, R. C.; Martinho, N.. Exploring the Chemical Space of Urease Inhibitors to Extract Meaningful Trends and Drivers of Activity. Journal of Chemical Information and Modeling 2022, 62, 3535-3550.  DOI: 10.1021/acs.jcim.2c00150.",6
aniceto2023,10.3390/ijms24098180,Using Machine Learning and Molecular Docking to Leverage Urease Inhibition Data for Virtual Screening,2023,International Journal of Molecular Sciences,Natália Aniceto; Tânia S. Albuquerque; Vasco D. B. Bonifácio; Rita C. Guedes; Nuno Martinho,5,10,False,article,24,9,8180,8180,verified,"Aniceto, N.; Albuquerque, T. S.; Bonifácio, V. D. B.; Guedes, R. C.; Martinho, N.. Using Machine Learning and Molecular Docking to Leverage Urease Inhibition Data for Virtual Screening. International Journal of Molecular Sciences 2023, 24, 8180-8180.  DOI: 10.3390/ijms24098180.",7
triazole2025,10.3390/ijms262311576,"Integrative Computational Approaches for the Discovery of Triazole-Based Urease Inhibitors: A Machine Learning, Virtual Screening, and Meta-Dynamics Framework",2025,International Journal of Molecular Sciences,Sofía E. Ríos-Rozas; Natalia Morales; Elizabeth Valdés-Muñoz; Gabriela Urra; Camila A. Flores-Morales; Javier Farías-Abarca; Erix W. Hernández‐Rodríguez; Jonathan M. Palma; Manuel I. Osorio; Osvaldo Yáñez; Luis Morales‐Quintana; Reynier Suardíaz; Daniel Bustos,13,1,False,article,26,23,11576,11576,verified,"Ríos-Rozas, S. E.; Morales, N.; Valdés-Muñoz, E.; Urra, G.; Flores-Morales, C. A.; Farías-Abarca, J.; Hernández‐Rodríguez, E. W.; Palma, J. M.; Osorio, M. I.; Yáñez, O.; et al.. Integrative Computational Approaches for the Discovery of Triazole-Based Urease Inhibitors: A Machine Learning, Virtual Screening, and Meta-Dynamics Framework. International Journal of Molecular Sciences 2025, 26, 11576-11576.  DOI: 10.3390/ijms262311576.",8
chembl2024,10.1093/nar/gkad1004,The ChEMBL Database in 2023: a drug discovery platform spanning multiple bioactivity data types and time periods,2023,Nucleic Acids Research,Barbara Zdrazil; Eloy Félix; Fiona Hunter; Emma J. Manners; James Blackshaw; Sybilla Corbett; Marleen De Veij; Harris Ioannidis; David Méndez; Juan F Mosquera; María Paula Magariños; Nicolas Bosc; Ricardo Arcila; Tevfik Kizilören; Anna Gaulton; A. Patrícia Bento; Melissa F. Adasme; Peter Monecke; Gregory A. Landrum; Andrew R. Leach,20,1272,False,article,52,D1,D1180,D1192,verified,"Zdrazil, B.; Félix, E.; Hunter, F.; Manners, E. J.; Blackshaw, J.; Corbett, S.; Veij, M. D.; Ioannidis, H.; Méndez, D.; Mosquera, J. F.; et al.. The ChEMBL Database in 2023: a drug discovery platform spanning multiple bioactivity data types and time periods. Nucleic Acids Research 2023, 52, D1180-D1192.  DOI: 10.1093/nar/gkad1004.",9
bindingdb2024,10.1093/nar/gkae1075,BindingDB in 2024: a FAIR knowledgebase of protein-small molecule binding data,2024,Nucleic Acids Research,Tiqing Liu; Linda Hwang; S.K. Burley; Carmen I. Nitsche; Christopher Southan; W. Patrick Walters; Michael K. Gilson,7,191,False,article,53,D1,D1633,D1644,verified,"Liu, T.; Hwang, L.; Burley, S.; Nitsche, C. I.; Southan, C.; Walters, W. P.; Gilson, M. K.. BindingDB in 2024: a FAIR knowledgebase of protein-small molecule binding data. Nucleic Acids Research 2024, 53, D1633-D1644.  DOI: 10.1093/nar/gkae1075.",10
pubchem2025,10.1093/nar/gkae1059,PubChem 2025 update,2024,Nucleic Acids Research,Sunghwan Kim; Jie Chen; Tiejun Cheng; Asta Gindulytė; Jia He; Siqian He; Qingliang Li; Benjamin A. Shoemaker; Paul Thiessen; Bo Yu; Leonid Zaslavsky; Jian Zhang; Evan Bolton,13,1105,False,article,53,D1,D1516,D1525,verified,"Kim, S.; Chen, J.; Cheng, T.; Gindulytė, A.; He, J.; He, S.; Li, Q.; Shoemaker, B. A.; Thiessen, P.; Yu, B.; et al.. PubChem 2025 update. Nucleic Acids Research 2024, 53, D1516-D1525.  DOI: 10.1093/nar/gkae1059.",11
