id,figure_S6_id,primary_document,short_label,journal,year,n_molecules,n_with_pAct,median_pAct,n_potent,primary_organisms
DOC01,D01,10.1016/j.bmcl.2019.02.032,Bioorg. Med. Chem. Lett. 2019,Bioorg Med Chem Lett,2019.0,44,24,4.313,2,Sporosarcina pasteurii
DOC02,D02,10.1016/j.bmcl.2017.02.022,Bioorg. Med. Chem. Lett. 2017,Bioorg Med Chem Lett,2017.0,40,34,4.757,10,Sporosarcina pasteurii
DOC03,D03,10.1016/j.ejmech.2018.06.065,Eur. J. Med. Chem. 2018,Eur J Med Chem,2018.0,40,40,5.369,3,Helicobacter pylori
DOC04,D05,10.1016/j.bmc.2018.07.003,Bioorg. Med. Chem. 2018,Bioorg Med Chem,2018.0,37,37,4.983,5,Helicobacter pylori
DOC05,D04,10.1016/j.ejmech.2014.01.001,Eur. J. Med. Chem. 2014,Eur J Med Chem,2014.0,37,37,4.618,0,Canavalia ensiformis
DOC06,D06,10.1016/j.ejmech.2017.03.070,Eur. J. Med. Chem. 2017,Eur J Med Chem,2017.0,34,34,4.196,1,Sporosarcina pasteurii
DOC07,D07,CHEMBL1144858,ChEMBL doc. 2008,,2008.0,30,30,4.145,0,Canavalia ensiformis
DOC08,D08,10.1016/j.ejmech.2010.08.015,Eur. J. Med. Chem. 2010,Eur J Med Chem,2010.0,29,29,4.301,0,Helicobacter pylori
DOC09,D09,10.1016/j.ejmech.2013.03.016,Eur. J. Med. Chem. 2013,Eur J Med Chem,2013.0,28,28,3.132,1,Helicobacter pylori
DOC10,D10,10.1016/j.bmc.2014.05.057,Bioorg. Med. Chem. 2014,Bioorg Med Chem,2014.0,27,27,4.532,0,Sporosarcina pasteurii
DOC11,D11,10.1016/j.ejmech.2013.10.012,Eur. J. Med. Chem. 2013,Eur J Med Chem,2013.0,26,26,4.793,0,Canavalia ensiformis
DOC12,D13,10.1016/j.bmc.2016.07.042,Bioorg. Med. Chem. 2016,Bioorg Med Chem,2016.0,25,25,5.199,0,Canavalia ensiformis
DOC13,D14,10.1021/acs.jmedchem.6b00986,J. Med. Chem. 2016,J Med Chem,2016.0,25,25,5.065,3,Helicobacter pylori
DOC14,D12,10.1021/acs.jmedchem.2c01799,J. Med. Chem. 2022,J Med Chem,2022.0,25,25,8.038,25,Proteus mirabilis / Sporosarcina pasteurii
DOC15,D15,CHEMBL3352339,ChEMBL doc. 2014,,2014.0,24,24,4.542,0,Canavalia ensiformis
DOC16,D16,CHEMBL5137004,ChEMBL doc. 2022,,2022.0,24,23,5.367,7,Canavalia ensiformis
DOC17,D17,10.1016/j.bmc.2016.07.052,Bioorg. Med. Chem. 2016,Bioorg Med Chem,2016.0,23,23,4.058,1,Helicobacter pylori
DOC18,D18,10.1111/cbdd.12297,DOI cbdd.12297,,,21,21,4.479,0,Canavalia ensiformis
DOC19,D20,10.1016/j.bmc.2015.06.014,Bioorg. Med. Chem. 2015,Bioorg Med Chem,2015.0,21,21,4.188,0,Helicobacter pylori
DOC20,D21,10.1016/j.ejmech.2013.07.047,Eur. J. Med. Chem. 2013,Eur J Med Chem,2013.0,21,21,5.138,3,Helicobacter pylori
DOC21,D19,10.1016/j.bmcl.2018.08.025,Bioorg. Med. Chem. Lett. 2018,Bioorg Med Chem Lett,2018.0,21,20,4.602,1,Helicobacter pylori
DOC22,D22,10.1016/j.bioorg.2015.10.005,DOI j.bioorg.2015.10.005,,2015.0,20,20,4.503,0,Sporosarcina pasteurii
DOC23,D23,10.1016/j.bmc.2020.115759,Bioorg. Med. Chem. 2020,Bioorg Med Chem,2020.0,20,20,4.439,0,"Urease, unspecified origin"
DOC24,D27,CHEMBL3600348,ChEMBL doc. 2015,,2015.0,20,19,4.072,0,Canavalia ensiformis
DOC25,D28,CHEMBL3044957,ChEMBL doc. 2013,,2013.0,20,16,4.324,0,Canavalia ensiformis
DOC26,D26,10.1016/j.ejmech.2018.09.074,Eur. J. Med. Chem. 2018,Eur J Med Chem,2018.0,20,20,4.903,1,Sporosarcina pasteurii
DOC27,D25,10.1016/j.bmc.2015.10.017,Bioorg. Med. Chem. 2015,Bioorg Med Chem,2015.0,20,20,5.45,2,Canavalia ensiformis
DOC28,D24,10.1016/j.bioorg.2016.03.010,DOI j.bioorg.2016.03.010,,2016.0,20,20,5.146,0,Canavalia ensiformis
DOC29,D30,10.1016/j.bioorg.2015.06.004,DOI j.bioorg.2015.06.004,,2015.0,19,19,6.249,12,Canavalia ensiformis
DOC30,D29,10.1016/j.bmc.2015.05.038,Bioorg. Med. Chem. 2015,Bioorg Med Chem,2015.0,19,19,4.574,0,Canavalia ensiformis
