row_id,inchikey,smiles_std,n_records,source_dbs,n_source_dbs,organisms,n_organisms,primary_organism,documents,n_documents,primary_document,act_types,n_direct,pAct_median,pAct_min,pAct_max,pAct_spread,outcomes,any_active,any_inactive,MolWt,ExactMolWt,NumHeavyAtoms,NumAtoms,LogP,MolMR,TPSA,HBA,HBD,RotatableBonds,RingCount,AromaticRings,AliphaticRings,FractionCSP3,BertzCT,FormalCharge,NumAmideBonds,NumHeteroAtoms,NumAromaticHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumAliphaticCarbocycles,HeavyAtomMolWt,NHOHCount,NOCount,scaffold
UIREF-0001,AALDDVUYNHJZLY-UHFFFAOYSA-N,CCCCCCCCCCCCc1ccc(O)c(O)c1O,2,PubChem,1,Helicobacter pylori,1,Helicobacter pylori,10.1016/j.ejmech.2010.08.015,1,10.1016/j.ejmech.2010.08.015,IC50,1,3.7746907182741367,3.7746907182741367,3.7746907182741367,0.0,Inconclusive|Unspecified,False,False,294.435,294.21949481999997,21,21,5.266800000000006,86.98440000000005,60.69,3,3,11,1,1,0,0.6666666666666666,401.6950666042346,0,0,3,0,0,1,0,264.19499999999994,3,3,c1ccccc1
UIREF-0002,ABAJLYKDPYVMJT-ZRDIBKRKSA-N,COC(=O)/C(=C/c1ccc(F)cc1)CCCCP(=O)(O)O,3,PubChem,1,Sporosarcina pasteurii,1,Sporosarcina pasteurii,10.1016/j.ejmech.2018.09.074,1,10.1016/j.ejmech.2018.09.074,IC50|Ki,3,3.886056647693163,3.785156151952302,3.935542010773082,0.15038585882077982,Unspecified,False,False,316.265,316.08758852599993,21,21,2.730100000000002,77.15510000000003,83.83000000000001,3,2,7,1,1,0,0.35714285714285715,546.9877239389855,0,0,7,0,0,1,0,298.121,2,5,c1ccccc1
UIREF-0003,ABGOXDQHZLJEIF-UHFFFAOYSA-N,ON=C(O)CCOc1ccc(Br)cc1,2,PubChem,1,Helicobacter pylori,1,Helicobacter pylori,10.1016/j.bmc.2018.07.003,1,10.1016/j.bmc.2018.07.003,IC50|Inhibition,1,6.065501548756432,6.065501548756432,6.065501548756432,0.0,Active|Unspecified,True,False,260.087,258.98440528000003,14,14,2.5637000000000008,56.104300000000016,62.05000000000001,3,2,4,1,1,0,0.2222222222222222,310.3380348439444,0,0,5,0,0,1,0,250.00699999999998,2,4,c1ccccc1
UIREF-0004,ABMLUCQDOWVYLW-UHFFFAOYSA-N,CCOC(=O)c1ccc(NC(=S)NC(=O)c2ccc(OC)c(OC)c2)cc1,2,BindingDB|PubChem,2,"Canavalia ensiformis|Urease, unspecified origin",2,Canavalia ensiformis,10.1016/j.bioorg.2013.10.001,1,10.1016/j.bioorg.2013.10.001,IC50,1,6.886056647693163,6.886056647693163,6.886056647693163,0.0,Active,True,False,388.44500000000016,388.10929273999994,27,27,3.0073000000000016,105.63140000000001,85.89000000000001,6,2,6,2,2,0,0.21052631578947367,836.4936962137737,0,1,8,0,0,2,0,368.28500000000014,2,7,O=C(NC(=S)Nc1ccccc1)c1ccccc1
UIREF-0005,ABORTHSSIASBDG-BJMVGYQFSA-N,Cc1ccc(C/C=N/NC(N)=S)o1,2,BindingDB|PubChem,2,"Canavalia ensiformis|Urease, unspecified origin",2,Canavalia ensiformis,10.1111/cbdd.12379,1,10.1111/cbdd.12379,IC50,1,5.490797477668897,5.490797477668897,5.490797477668897,0.0,Active,True,False,197.263,197.062282972,13,13,0.9495199999999999,55.56210000000001,63.55,3,2,3,1,1,0,0.25,318.9439701599723,0,0,5,1,0,0,0,186.17499999999998,3,4,c1ccoc1
UIREF-0006,ACJOYTKWHPEIHW-UHFFFAOYSA-N,CCOC(=O)C#Cc1ccccc1,3,PubChem,1,Sporosarcina pasteurii,1,Sporosarcina pasteurii,10.1016/j.bmcl.2017.02.022,1,10.1016/j.bmcl.2017.02.022,Ki,3,4.281498311132726,3.0893755951107984,4.326979092871104,1.2376034977603059,Unspecified,False,False,174.199,174.06807956,13,13,1.6012,49.953000000000024,26.3,2,0,1,1,1,0,0.18181818181818182,330.10306595573115,0,0,2,0,0,1,0,164.11899999999997,0,2,c1ccccc1
UIREF-0007,ACQIPCCEGCZDPY-UHFFFAOYSA-N,CNC(=S)NNC(=O)Cn1c(C2CC2)nc2cc(Cl)c(Cl)cc21,3,BindingDB|ChEMBL|PubChem,3,Canavalia ensiformis,1,Canavalia ensiformis,10.1016/j.bmcl.2017.05.019|CHEMBL4033708,2,10.1016/j.bmcl.2017.05.019,IC50,3,7.301029995663981,7.301029995663981,7.301029995663981,0.0,Active,True,False,372.2810000000001,371.03743646,23,23,2.3456,94.66410000000002,70.97999999999999,3,3,3,3,2,1,0.35714285714285715,787.055873682838,0,1,9,1,0,1,1,357.16100000000006,3,6,c1ccc2[nH]c(C3CC3)nc2c1
UIREF-0008,ACXLBHHUHSJENU-CMDGGOBGSA-N,CCOC(=O)/C=C/C(=O)c1ccccc1,3,PubChem,1,Sporosarcina pasteurii,1,Sporosarcina pasteurii,10.1016/j.bmcl.2017.02.022,1,10.1016/j.bmcl.2017.02.022,Ki,3,5.402743717074858,4.534617148551582,5.916139199133427,1.3815220505818457,Active|Unspecified,True,False,204.225,204.078644244,15,15,1.9886,56.54550000000003,43.370000000000005,3,0,4,1,1,0,0.16666666666666666,365.7134385940965,0,0,3,0,0,1,0,192.12899999999996,0,3,c1ccccc1
UIREF-0009,ADFCQWZHKCXPAJ-UHFFFAOYSA-N,Oc1ccc(C2COc3cc(O)ccc3C2)cc1,1,PubChem,1,Helicobacter pylori,1,Helicobacter pylori,10.1016/j.ejmech.2013.03.016,1,10.1016/j.ejmech.2013.03.016,IC50,1,4.031984286006359,4.031984286006359,4.031984286006359,0.0,Unspecified,False,False,242.274,242.094294308,18,18,2.8165000000000004,68.15360000000004,49.69,3,2,1,3,2,1,0.2,560.4514391416084,0,0,3,0,1,2,0,228.16199999999995,2,3,c1ccc(C2COc3ccccc3C2)cc1
UIREF-0010,ADFZLHXYATZWSH-UHFFFAOYSA-N,ON=C(O)CC(O)c1ccccc1F,2,PubChem,1,Helicobacter pylori,1,Helicobacter pylori,10.1016/j.ejmech.2013.07.047,1,10.1016/j.ejmech.2013.07.047,IC50,1,5.251811972993799,5.251811972993799,5.251811972993799,0.0,Active|Inconclusive,True,False,199.181,199.0644714,14,14,1.5949,47.827100000000016,73.05000000000001,3,3,3,1,1,0,0.2222222222222222,340.5838810441725,0,0,5,0,0,1,0,189.10099999999997,3,4,c1ccccc1
